epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6981.02,0.97717,0.58502,0.99791,0.81238,0.90909,0.89925,0.49968,1.6035,0.7226,1.39522,0.0011882,0.0011882,0.0011882
43,7135.94,0.94762,0.56056,0.99048,0.86735,0.84091,0.86932,0.5037,1.64921,0.74941,1.40297,0.0011684,0.0011684,0.0011684
44,7274.29,1.01064,0.6055,1.01256,0.83102,0.88636,0.88218,0.49436,1.62507,0.71937,1.43862,0.0011486,0.0011486,0.0011486
45,7429.57,0.97383,0.57821,1.00452,0.86923,0.81818,0.89028,0.49548,1.64088,0.80366,1.468,0.0011288,0.0011288,0.0011288
46,7633.99,0.91075,0.53222,0.99633,0.83736,0.81908,0.86617,0.49452,1.55206,0.7701,1.40575,0.001109,0.001109,0.001109
47,7849.39,0.94705,0.5629,0.98745,0.92455,0.83565,0.88361,0.50808,1.5288,0.7556,1.38283,0.0010892,0.0010892,0.0010892
48,8056.25,0.95182,0.5542,0.99753,0.90656,0.88204,0.89471,0.50224,1.60406,0.75342,1.40364,0.0010694,0.0010694,0.0010694
49,8258.63,0.92741,0.53435,0.98525,0.88209,0.86364,0.89756,0.52921,1.58239,0.74664,1.3952,0.0010496,0.0010496,0.0010496
50,8480.24,0.97495,0.53852,0.98904,0.86125,0.88636,0.90669,0.49348,1.66219,0.77371,1.42963,0.0010298,0.0010298,0.0010298
51,8710.04,0.92814,0.52946,0.97874,0.88171,0.88636,0.89238,0.53335,1.56234,0.71209,1.41303,0.00101,0.00101,0.00101
52,8896.54,0.90193,0.53467,0.98563,0.84496,0.88636,0.8937,0.53372,1.58932,0.79729,1.4024,0.0009902,0.0009902,0.0009902
53,9057.81,0.84822,0.50844,0.95966,0.83668,0.86364,0.89476,0.52698,1.55439,0.77123,1.4147,0.0009704,0.0009704,0.0009704
54,9194.71,0.86878,0.514,0.96726,0.80281,0.92536,0.89478,0.51196,1.52705,0.72959,1.40771,0.0009506,0.0009506,0.0009506
55,9322.54,0.88343,0.51866,0.96069,0.91396,0.81818,0.88972,0.51627,1.53786,0.72647,1.38864,0.0009308,0.0009308,0.0009308
56,9446.98,0.90025,0.50675,0.96476,0.84733,0.88636,0.86304,0.49157,1.53822,0.76568,1.36609,0.000911,0.000911,0.000911
57,9574,0.91031,0.53203,0.97715,0.86567,0.87891,0.8761,0.51993,1.56653,0.72978,1.3604,0.0008912,0.0008912,0.0008912
